environment,location,dish,service,price
0.4588356,0.0666791,0.274076,0.0806877,0.1197217
0.0884837,0.1426352,0.450247,0.0749064,0.2437277
0.3426401,0.0306695,0.2729802,0.0649688,0.2887414
0.1106408,0.1147661,0.3389289,0.4322069,0.0034572
0.1374961,0.0802286,0.2360163,0.1121039,0.4341551
0.3614428,0.0,0.405428,0.2331292,0.0
0.2663526,0.0,0.3407135,0.1916575,0.2012764
0.1934517,0.1957814,0.2409809,0.228132,0.1416539
0.1443166,0.0359921,0.1096762,0.0612149,0.6488002
0.3054876,0.1498536,0.1910878,0.2958884,0.0576827
0.5081638,0.0348659,0.1311934,0.1353293,0.1904477
0.2651214,0.0,0.2791522,0.2306604,0.2250659
0.3645684,0.0129545,0.1095046,0.4136899,0.0992826
0.0116064,0.033852,0.3168503,0.2153623,0.422329
0.3830738,0.0957482,0.1986165,0.3008374,0.0217241
0.1774528,0.1104539,0.2131057,0.2360026,0.2629849
0.485169,0.044617,0.1168718,0.1739887,0.1793534
0.2493916,0.0653589,0.4388862,0.0,0.2463633
0.2411482,0.0320918,0.3983937,0.126623,0.2017434
0.3477206,0.0,0.2658198,0.3317088,0.0547508
0.4718617,0.2100458,0.051756,0.1165353,0.1498012
0.3937996,0.1545585,0.280009,0.0989964,0.0726364
0.6827521,0.0121257,0.0878051,0.1428869,0.0744301
0.2428489,0.0,0.2574957,0.3191698,0.1804856
0.1320971,0.0353979,0.6038992,0.0614028,0.167203
