environment,location,dish,service,price
0.3333138,0.1666671,0.1666661,0.1666952,0.1666579
0.1667709,0.3179918,0.1708658,0.1708663,0.1735051
0.1666667,0.1666683,0.3333315,0.1666665,0.1666669
0.1657153,0.1719561,0.1655837,0.3311613,0.1655835
0.169811,0.1698119,0.1698116,0.1635239,0.3270417
0.2087633,0.1993606,0.1913296,0.2087634,0.1917831
0.2100985,0.2323205,0.1858668,0.185856,0.1858582
0.1967456,0.1976941,0.2175074,0.1976867,0.1903662
0.2024387,0.1949463,0.1950203,0.212668,0.1949267
0.1964099,0.1964118,0.1964519,0.1964538,0.2142725
0.2078141,0.2078149,0.2062486,0.1890605,0.189062
0.1999802,0.2000225,0.1999964,0.200024,0.199977
0.1985378,0.1984666,0.2060921,0.1984623,0.1984413
0.1949113,0.194912,0.1949225,0.2203318,0.1949224
0.2196403,0.1927847,0.1847024,0.2100878,0.1927847
0.1964265,0.1964264,0.2142851,0.1964312,0.1964309
0.1964245,0.1964364,0.1964287,0.2142854,0.1964251
0.2068944,0.206894,0.1896629,0.2068952,0.1896535
0.1999663,0.2000197,0.2000197,0.2000193,0.1999751
0.1908067,0.2111673,0.2065924,0.1848439,0.2065896
0.1819815,0.1900084,0.1900088,0.2294854,0.2085159
0.1728381,0.172838,0.222221,0.2160515,0.2160515
0.2126652,0.1949805,0.1949317,0.1949818,0.2024408
0.1954867,0.1954869,0.2070216,0.1875192,0.2144856
0.2105227,0.1929864,0.1929878,0.2105259,0.1929772
